loc,TS,T2M,QV2M,RH2M,T2MDEW,T2MWET,GWETTOP,T2M_MAX,T2M_MIN,GWETPROF,GWETROOT,CLOUD_AMT,T2M_RANGE,PRECTOTCORR,ALLSKY_SFC_LW_DWN
ABRA,24.757717391304347,24.725217391304344,16.816195652173914,83.35923913043479,21.555869565217392,23.140652173913043,0.8730434782608697,28.461521739130436,22.062717391304346,0.8614130434782609,0.8779347826086956,53.64782608695653,6.397717391304348,6.227173913043478,402.27456521739134
AGUSAN DEL NORTE,25.49,25.361630434782608,17.85086956521739,86.79228260869566,22.73217391304348,24.0475,0.8829347826086957,29.770000000000003,22.499782608695654,0.9014130434782609,0.8754347826086956,71.62652173913044,7.269239130434783,8.0875,405.1928260869565
AGUSAN DEL SUR,26.34858695652174,26.566304347826087,18.055652173913042,84.11413043478261,23.19282608695652,24.878586956521737,0.7855434782608696,32.1679347826087,22.85228260869565,0.7978260869565218,0.7509782608695652,71.62652173913044,9.315869565217392,5.479456521739131,405.1928260869565
AKLAN,26.69663043478261,26.492065217391303,18.956847826086957,86.90391304347825,24.08641304347826,25.28967391304348,0.9445652173913044,28.69695652173913,24.8775,0.9348913043478262,0.9656521739130435,75.24945652173913,3.820108695652174,10.704891304347827,418.2091304347826
ALBAY,27.06695652173913,26.729347826086954,18.77641304347826,85.45086956521739,23.98586956521739,25.357934782608694,0.9236956521739131,29.436956521739127,24.89630434782609,0.9271739130434782,0.9484782608695653,67.41760869565218,4.539347826086956,9.28032608695652,415.57554347826084
ANTIQUE,28.37336956521739,27.955652173913045,19.20804347826087,81.27728260869566,24.438804347826085,26.196413043478262,0.8466304347826087,29.096304347826088,27.042608695652174,0.8269565217391304,0.8494565217391304,75.24945652173913,2.05445652173913,8.781956521739131,418.2091304347826
APAYAO,23.11467391304348,23.102608695652176,16.596086956521738,90.81532608695652,21.371304347826086,22.23728260869565,0.9290217391304347,27.260760869565214,20.504782608695653,0.9202173913043478,0.9503260869565217,73.96097826086957,6.756521739130435,11.007934782608697,414.26336956521743
AURORA,26.964891304347827,26.381086956521738,18.117934782608696,83.14141304347827,23.232499999999998,24.807065217391305,0.905,28.29141304347826,25.10967391304348,0.876195652173913,0.9134782608695653,75.17,3.180978260869565,6.490108695652174,395.0303260869565
BASILAN,29.06913043478261,28.13413043478261,18.57467391304348,77.94978260869566,23.91641304347826,26.02510869565217,0.7180434782608696,28.838478260869564,27.449782608695653,0.7179347826086956,0.7336956521739131,73.31478260869565,1.389891304347826,2.75,423.1247826086957
BATAAN,27.872173913043476,27.090434782608696,18.582826086956523,82.65380434782608,23.817282608695653,25.45413043478261,0.8841304347826088,29.35358695652174,25.251956521739128,0.863695652173913,0.893695652173913,66.58565217391305,4.101195652173913,4.432608695652174,418.9944565217391
